num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2024S019713;14/06/2024;11:35:00;CALL. MONTE ESQUINZA / CALL. FERNANDO EL SANTO;20;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;441294;4475506;N;NULL
2024S019713;14/06/2024;11:35:00;CALL. MONTE ESQUINZA / CALL. FERNANDO EL SANTO;20;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441294;4475506;N;NULL
2024S019713;14/06/2024;11:35:00;CALL. MONTE ESQUINZA / CALL. FERNANDO EL SANTO;20;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 55 a 59 años;Mujer;1;Atención en urgencias sin posterior ingreso;441294;4475506;N;NULL
2024S019714;14/06/2024;12:20:00;CALL. SAN GERMAN, 11;11;6;TETUÁN;Colisión fronto-lateral;Despejado;Todo terreno;Conductor;De 45 a 49 años;Mujer;14;Sin asistencia sanitaria;441131;4478641;N;NULL
2024S019714;14/06/2024;12:20:00;CALL. SAN GERMAN, 11;11;6;TETUÁN;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;441131;4478641;N;NULL
2024S019714;14/06/2024;12:20:00;CALL. SAN GERMAN, 11;11;6;TETUÁN;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;441131;4478641;N;NULL
2024S019715;14/06/2024;12:53:00;AVDA. MEDITERRANEO, 33;33;3;RETIRO;Alcance;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442937;4473147;N;NULL
2024S019715;14/06/2024;12:53:00;AVDA. MEDITERRANEO, 33;33;3;RETIRO;Alcance;Despejado;Turismo;Conductor;De 65 a 69 años;Hombre;14;Sin asistencia sanitaria;442937;4473147;N;NULL
2024S019716;14/06/2024;11:00:00;CRUCE CALLE POBLADURA DEL VALLE CON CALLE AMPOSTA;13;20;SAN BLAS-CANILLEJAS;Atropello a persona;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;447371;4475168;N;NULL
2024S019716;14/06/2024;11:00:00;CRUCE CALLE POBLADURA DEL VALLE CON CALLE AMPOSTA;13;20;SAN BLAS-CANILLEJAS;Atropello a persona;Despejado;Turismo;Peatón;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;447371;4475168;N;NULL
