num_expediente,fecha_hora,cod_distrito,distrito,same_as_wikidata_distrito,tipo_accidente,estado_meteorologico,tipo_vehiculo,tipo_persona,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,num_participante
2024S021068,2024-06-30T20:35:00Z,10,Latina,https://wikidata.org/entity/Q794954,Caída,Despejado,Ciclomotor,Conductor,7,Asistencia sanitaria sólo en el lugar del accidente,40.40493089921354,-3.7329200635955373,0,0,"1"
2024S021068,2024-06-30T20:35:00Z,10,Latina,https://wikidata.org/entity/Q794954,Caída,Despejado,Ciclomotor,Pasajero,7,Asistencia sanitaria sólo en el lugar del accidente,40.40493089921354,-3.7329200635955373,0,0,"2"
2024S021069,2024-06-30T22:50:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Alcance,Despejado,Bicicleta,Conductor,7,Asistencia sanitaria sólo en el lugar del accidente,40.45872111349458,-3.6833432023862738,0,0,"1"
2024S021069,2024-06-30T22:50:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Alcance,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.45872111349458,-3.6833432023862738,0,0,"2"
2024S021070,2024-06-30T23:25:00Z,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Alcance,Despejado,Motocicleta hasta 125cc,Conductor,77,Se desconoce,40.37341348970292,-3.637766013966948,0,0,"1"
2024S021070,2024-06-30T23:25:00Z,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Alcance,Despejado,Turismo,Conductor,77,Se desconoce,40.37341348970292,-3.637766013966948,0,0,"2"
2024S021071,2024-06-30T22:10:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Colisión lateral,Despejado,Motocicleta hasta 125cc,Conductor,2,Ingreso inferior o igual a 24 horas,40.40330419766435,-3.6667789627689094,0,0,"1"
2024S021071,2024-06-30T22:10:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Colisión lateral,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.40330419766435,-3.6667789627689094,0,0,"2"
2024S021072,2024-06-30T22:35:00Z,4,Salamanca,https://wikidata.org/entity/Q1773521,Colisión múltiple,Despejado,Furgoneta,Conductor,77,Se desconoce,40.42235764843328,-3.673120368581963,0,0,"1"
2024S021072,2024-06-30T22:35:00Z,4,Salamanca,https://wikidata.org/entity/Q1773521,Colisión múltiple,Despejado,Turismo,Conductor,77,Se desconoce,40.42235764843328,-3.673120368581963,0,0,"2"
2024S021072,2024-06-30T22:35:00Z,4,Salamanca,https://wikidata.org/entity/Q1773521,Colisión múltiple,Despejado,Turismo,Conductor,77,Se desconoce,40.42235764843328,-3.673120368581963,0,0,"3"
2024S021072,2024-06-30T22:35:00Z,4,Salamanca,https://wikidata.org/entity/Q1773521,Colisión múltiple,Despejado,Turismo,Conductor,77,Se desconoce,40.42235764843328,-3.673120368581963,0,0,"4"
2024S021072,2024-06-30T22:35:00Z,4,Salamanca,https://wikidata.org/entity/Q1773521,Colisión múltiple,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.42235764843328,-3.673120368581963,0,0,"5"
2024S021074,2024-07-01T00:45:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Colisión fronto-lateral,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.437638583315554,-3.6774702051664563,0,0,"1"
2024S021074,2024-07-01T00:45:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Colisión fronto-lateral,Despejado,Turismo,Pasajero,14,Sin asistencia sanitaria,40.437638583315554,-3.6774702051664563,0,0,"2"
2024S021074,2024-07-01T00:45:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Colisión fronto-lateral,Despejado,Turismo,Pasajero,14,Sin asistencia sanitaria,40.437638583315554,-3.6774702051664563,0,0,"3"
2024S021074,2024-07-01T00:45:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Colisión fronto-lateral,Despejado,VMU eléctrico,Conductor,2,Ingreso inferior o igual a 24 horas,40.437638583315554,-3.6774702051664563,0,0,"4"
2024S021075,2024-07-01T00:15:00Z,2,Arganzuela,https://wikidata.org/entity/Q2000929,Caída,Despejado,Motocicleta hasta 125cc,Conductor,2,Ingreso inferior o igual a 24 horas,40.40609477560035,-3.694701846922368,0,0,"1"
2024S021076,2024-07-01T01:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Despejado,Turismo,Conductor,7,Asistencia sanitaria sólo en el lugar del accidente,40.37963568313928,-3.6639302857694735,0,0,"1"
2024S021076,2024-07-01T01:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.37963568313928,-3.6639302857694735,0,1,"2"
2024S021076,2024-07-01T01:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Despejado,Turismo,Pasajero,6,Asistencia sanitaria inmediata en centro de salud o mutua,40.37963568313928,-3.6639302857694735,0,0,"3"
2024S021076,2024-07-01T01:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Despejado,Turismo,Pasajero,6,Asistencia sanitaria inmediata en centro de salud o mutua,40.37963568313928,-3.6639302857694735,0,0,"4"
2024S021076,2024-07-01T01:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Despejado,Turismo,Pasajero,5,Asistencia sanitaria ambulatoria con posterioridad,40.37963568313928,-3.6639302857694735,0,0,"5"
2024S021076,2024-07-01T01:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Despejado,Turismo,Pasajero,14,Sin asistencia sanitaria,40.37963568313928,-3.6639302857694735,0,0,"6"
2024S021077,2024-07-01T02:00:00Z,17,Villaverde,https://wikidata.org/entity/Q919536,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.355281848442424,-3.6859131479544525,0,0,"1"
2024S021077,2024-07-01T02:00:00Z,17,Villaverde,https://wikidata.org/entity/Q919536,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,77,Se desconoce,40.355281848442424,-3.6859131479544525,0,0,"2"
2024S021077,2024-07-01T02:00:00Z,17,Villaverde,https://wikidata.org/entity/Q919536,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,77,Se desconoce,40.355281848442424,-3.6859131479544525,0,0,"3"
2024S021078,2024-06-30T22:50:00Z,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Colisión lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.452999698632595,-3.743313059635034,0,0,"1"
2024S021078,2024-06-30T22:50:00Z,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Colisión lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.452999698632595,-3.743313059635034,0,0,"2"
2024S021080,2024-07-01T00:15:00Z,1,Centro,https://wikidata.org/entity/Q1763376,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,77,Se desconoce,40.42769765428981,-3.7140574113044518,0,0,"1"
2024S021082,2024-06-30T22:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.39164141737566,-3.6754065977413903,0,0,"1"
2024S021082,2024-06-30T22:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Despejado,Turismo,Conductor,7,Asistencia sanitaria sólo en el lugar del accidente,40.39164141737566,-3.6754065977413903,0,0,"2"
2024S021084,2024-06-27T12:30:00Z,1,Centro,https://wikidata.org/entity/Q1763376,Choque contra obstáculo fijo,Despejado,Camión rígido,Conductor,77,Se desconoce,40.41417950070051,-3.707479057650158,0,0,"1"
2024S021085,2024-07-01T06:15:00Z,12,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Despejado,Turismo,Conductor,7,Asistencia sanitaria sólo en el lugar del accidente,40.38010924097234,-3.7130128028579583,0,0,"1"
2024S021085,2024-07-01T06:15:00Z,12,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.38010924097234,-3.7130128028579583,0,0,"2"
2024S021086,2024-07-01T08:20:00Z,4,Salamanca,https://wikidata.org/entity/Q1773521,Alcance,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.42017173569835,-3.6878683971158384,0,0,"1"
2024S021086,2024-07-01T08:20:00Z,4,Salamanca,https://wikidata.org/entity/Q1773521,Alcance,Despejado,Turismo,Conductor,7,Asistencia sanitaria sólo en el lugar del accidente,40.42017173569835,-3.6878683971158384,0,0,"2"
2024S021087,2024-07-01T09:00:00Z,11,Carabanchel,https://wikidata.org/entity/Q1001991,Colisión lateral,Despejado,Autobús articulado,Conductor,14,Sin asistencia sanitaria,40.37616996583105,-3.7503959198074477,0,0,"1"
2024S021087,2024-07-01T09:00:00Z,11,Carabanchel,https://wikidata.org/entity/Q1001991,Colisión lateral,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.37616996583105,-3.7503959198074477,0,0,"2"
2024S021088,2024-07-01T09:00:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Alcance,Despejado,Turismo,Conductor,77,Se desconoce,40.45220405763775,-3.6654223335175025,0,0,"1"
2024S021088,2024-07-01T09:00:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Alcance,Despejado,Turismo,Conductor,77,Se desconoce,40.45220405763775,-3.6654223335175025,0,0,"2"
2024S021090,2024-07-01T08:10:00Z,19,Vicálvaro,https://wikidata.org/entity/Q589403,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor,2,Ingreso inferior o igual a 24 horas,40.4065922423174,-3.6165003563153806,0,0,"1"
2024S021090,2024-07-01T08:10:00Z,19,Vicálvaro,https://wikidata.org/entity/Q589403,Colisión fronto-lateral,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.4065922423174,-3.6165003563153806,0,0,"2"
