num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,distrito_urls,tipo_accidente,estado_meteorologico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S000032,2024-01-01T00:00:00Z,18:20:00,PASEO. DELICIAS / CALL. VIZCAYA,28,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Colisión fronto-lateral,Se desconoce,Turismo,Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,441147.383,4472906.803,N,"NULL"
2024S000032,2024-01-01T00:00:00Z,18:20:00,PASEO. DELICIAS / CALL. VIZCAYA,28,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Colisión fronto-lateral,Se desconoce,Turismo,Conductor,De 40 a 44 años,Hombre,14,Sin asistencia sanitaria,441147.383,4472906.803,N,"NULL"
2024S000032,2024-01-01T00:00:00Z,18:20:00,PASEO. DELICIAS / CALL. VIZCAYA,28,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Colisión fronto-lateral,Se desconoce,Turismo,Pasajero,De 15 a 17 años,Mujer,14,Sin asistencia sanitaria,441147.383,4472906.803,N,"NULL"
2024S000032,2024-01-01T00:00:00Z,18:20:00,PASEO. DELICIAS / CALL. VIZCAYA,28,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Colisión fronto-lateral,Se desconoce,Turismo,Pasajero,De 25 a 29 años,Mujer,14,Sin asistencia sanitaria,441147.383,4472906.803,N,"NULL"
2024S000032,2024-01-01T00:00:00Z,18:20:00,PASEO. DELICIAS / CALL. VIZCAYA,28,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Colisión fronto-lateral,Se desconoce,Turismo,Pasajero,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,441147.383,4472906.803,N,"NULL"
2024S000032,2024-01-01T00:00:00Z,18:20:00,PASEO. DELICIAS / CALL. VIZCAYA,28,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Colisión fronto-lateral,Se desconoce,Turismo,Pasajero,De 55 a 59 años,Mujer,14,Sin asistencia sanitaria,441147.383,4472906.803,N,"NULL"
2024S000033,2024-01-01T00:00:00Z,15:15:00,"CALL. ALMERIA, 8",8,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,NULL,NULL,443832.086,4475666.662,N,"NULL"
2024S000033,2024-01-01T00:00:00Z,15:15:00,"CALL. ALMERIA, 8",8,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,NULL,NULL,443832.086,4475666.662,N,"NULL"
2024S000034,2024-01-01T00:00:00Z,19:30:00,"CALL. ISAAC PERAL, 32",32,7,Chamberí,https://www.wikidata.org/wiki/Q1763370,Colisión fronto-lateral,NULL,Turismo,Conductor,Desconocido,Desconocido,NULL,NULL,439124.541,4476636.545,N,"NULL"
2024S000034,2024-01-01T00:00:00Z,19:30:00,"CALL. ISAAC PERAL, 32",32,7,Chamberí,https://www.wikidata.org/wiki/Q1763370,Colisión fronto-lateral,NULL,Turismo,Conductor,Desconocido,Desconocido,NULL,NULL,439124.541,4476636.545,N,"NULL"
